48601-RMSD-potein-potein-xvgx,48601-RMSD-potein-potein-xvgy1,4860-rmsd-potein-potein.xvg,4860-rmsd-potein-potein-xvgy2,5018-rmsd-potein-potein.xvg,5018-rmsd-potein-xvgy3,,5018-RMSD-lig-ligx,5018-RMSD-lig-ligy1,48601-RMSD-lig-lig.xvg,48601-RMSD-lig-ligy2,4860-rmsd-lig-lig.xvg,4860-rmsd-lig-ligy3,,4860-rmsd-backbond-backbond.xvg,4860-rmsd-backbond-backbond.xvg,48601-rmsd-backbond.xvg,48601-rmsd-backbond.xvg,5018-RMSD-backbond-backbond.xvg,5018-RMSD-backbond-backbond.xvg
1,0.2391688,1,0.3653013,1,0.2363277,,1,0.1380208,1,0.1251959,1,0.126489,,1,0.324598,1,0.1894409,1,0.196555
1.01,0.2441814,1.01,0.3649506,1.01,0.2273829,,1.01,0.1390046,1.01,0.1235173,1.01,0.1160797,,1.01,0.3243356,1.01,0.2005386,1.01,0.1848578
1.0200001,0.2563221,1.0200001,0.3703105,1.0200001,0.2268969,,1.0200001,0.1304942,1.0200001,0.1227438,1.0200001,0.1138953,,1.0200001,0.3295724,1.0200001,0.2129208,1.0200001,0.1864272
1.0300001,0.2620112,1.0300001,0.363294,1.0300001,0.2239837,,1.0300001,0.1420734,1.0300001,0.1117164,1.0300001,0.1276329,,1.0300001,0.322136,1.0300001,0.217862,1.0300001,0.1817188
1.0400001,0.2672219,1.0400001,0.3646656,1.0400001,0.2106056,,1.0400001,0.1335357,1.0400001,0.1067736,1.0400001,0.1184932,,1.0400001,0.3227488,1.0400001,0.2205509,1.0400001,0.16382
1.0500001,0.2709279,1.0500001,0.3614902,1.0500001,0.2077166,,1.0500001,0.1410315,1.0500001,0.1299714,1.0500001,0.1554856,,1.0500001,0.3185949,1.0500001,0.2280973,1.0500001,0.163264
1.0600001,0.2828071,1.0600001,0.3656669,1.0600001,0.2111595,,1.0600001,0.1430431,1.0600001,0.1329676,1.0600001,0.1423534,,1.0600001,0.3227791,1.0600001,0.2434964,1.0600001,0.1689316
1.0700001,0.264447,1.0700001,0.3703809,1.0700001,0.2169323,,1.0700001,0.1493986,1.0700001,0.1197273,1.0700001,0.1520278,,1.0700001,0.3283962,1.0700001,0.2192601,1.0700001,0.1770814
1.08,0.2784347,1.08,0.380543,1.08,0.2111287,,1.08,0.1541986,1.08,0.1074364,1.08,0.0951894,,1.08,0.3390798,1.08,0.2312059,1.08,0.1704603
1.09,0.2936837,1.09,0.3768466,1.09,0.2186768,,1.09,0.1547274,1.09,0.12862,1.09,0.1321235,,1.09,0.3354611,1.09,0.2504027,1.09,0.1809876
1.1,0.2705231,1.1,0.383716,1.1,0.2211635,,1.1,0.1522871,1.1,0.1042553,1.1,0.1283014,,1.1,0.3430825,1.1,0.2266434,1.1,0.1810336
1.11,0.2628609,1.11,0.3748807,1.11,0.2221737,,1.11,0.1432111,1.11,0.1136123,1.11,0.0866252,,1.11,0.3329379,1.11,0.2206785,1.11,0.1836222
1.12,0.275447,1.12,0.3665168,1.12,0.2276515,,1.12,0.1570245,1.12,0.1036479,1.12,0.1328706,,1.12,0.3238999,1.12,0.2369974,1.12,0.1872846
1.13,0.2650421,1.13,0.3688022,1.13,0.2349452,,1.13,0.1535084,1.13,0.121826,1.13,0.1336803,,1.13,0.3275212,1.13,0.2179322,1.13,0.1954664
1.1400001,0.2433459,1.1400001,0.3704013,1.1400001,0.2214067,,1.1400001,0.1619667,1.1400001,0.1129189,1.1400001,0.1133279,,1.1400001,0.3292591,1.1400001,0.1974891,1.1400001,0.1815903
1.1500001,0.2604238,1.1500001,0.3748464,1.1500001,0.2246985,,1.1500001,0.1538341,1.1500001,0.1091717,1.1500001,0.1386576,,1.1500001,0.3341606,1.1500001,0.213331,1.1500001,0.184078
1.1600001,0.2507117,1.1600001,0.3754261,1.1600001,0.2197382,,1.1600001,0.1549319,1.1600001,0.1132922,1.1600001,0.1507022,,1.1600001,0.3334581,1.1600001,0.2032309,1.1600001,0.1777513
