RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg
3.1000001,0.2565197,3.1000001,0.3057127,3.1000001,0.2372233
3.1100001,0.2616924,3.1100001,0.312374,3.1100001,0.2417383
3.1200001,0.2534967,3.1200001,0.3199448,3.1200001,0.2329903
3.1300001,0.2594861,3.1300001,0.3152479,3.1300001,0.2454329
3.1400001,0.2586441,3.1400001,0.3445939,3.1400001,0.2494441
3.1500001,0.2547447,3.1500001,0.3638988,3.1500001,0.2575713
3.1600001,0.2687075,3.1600001,0.3495782,3.1600001,0.2473836
3.1700001,0.2793097,3.1700001,0.3681095,3.1700001,0.243827
3.1800001,0.2465759,3.1800001,0.3513398,3.1800001,0.2431165
3.1900001,0.2666535,3.1900001,0.3536538,3.1900001,0.252829
3.2,0.2706474,3.2,0.3596472,3.2,0.2598463
3.21,0.2584601,3.21,0.3369929,3.21,0.2469378
3.2200003,0.2527999,3.2200003,0.3230323,3.2200003,0.2406065
3.2300003,0.2571829,3.2300003,0.3215898,3.2300003,0.2249647
3.2400002,0.256267,3.2400002,0.3434771,3.2400002,0.2317112
3.2500002,0.2559665,3.2500002,0.3507787,3.2500002,0.2455048
3.2600002,0.2635561,3.2600002,0.3418988,3.2600002,0.2359548
3.2700002,0.2632303,3.2700002,0.3178983,3.2700002,0.2396885
3.2800002,0.2514477,3.2800002,0.3421794,3.2800002,0.2448771
3.2900002,0.2588872,3.2900002,0.3692434,3.2900002,0.2553326
3.3000002,0.2762075,3.3000002,0.3591323,3.3000002,0.2470953
3.3100002,0.2714713,3.3100002,0.3734856,3.3100002,0.2455506
3.3200002,0.2658619,3.3200002,0.3667475,3.3200002,0.2527968
3.3300002,0.2683737,3.3300002,0.3549767,3.3300002,0.2633264
3.3400002,0.2562214,3.3400002,0.3377714,3.3400002,0.2706608
3.3500001,0.2517732,3.3500001,0.3232416,3.3500001,0.2781758
3.3600001,0.2665392,3.3600001,0.3052514,3.3600001,0.3002209
3.3700001,0.2644255,3.3700001,0.2890388,3.3700001,0.2783163
3.3800001,0.2668028,3.3800001,0.2911645,3.3800001,0.2882407
3.3900001,0.2532065,3.3900001,0.3088762,3.3900001,0.3043318
3.4000001,0.2570524,3.4000001,0.2991079,3.4000001,0.3078472
3.4100001,0.2617014,3.4100001,0.2992166,3.4100001,0.2806996
3.4200001,0.2919061,3.4200001,0.323263,3.4200001,0.2887077
3.4300001,0.2727627,3.4300001,0.3217293,3.4300001,0.2960858
3.4400001,0.2813015,3.4400001,0.3387818,3.4400001,0.2857592
3.45,0.2766834,3.45,0.3255356,3.45,0.2993928
3.4600003,0.2804396,3.4600003,0.3211501,3.4600003,0.2732714
3.4700003,0.275322,3.4700003,0.2957199,3.4700003,0.2764138
3.4800003,0.2629726,3.4800003,0.3041385,3.4800003,0.267555
3.4900002,0.2671422,3.4900002,0.2973467,3.4900002,0.2568745
3.5000002,0.2656128,3.5000002,0.3184032,3.5000002,0.2490763
3.5100002,0.2603712,3.5100002,0.3336621,3.5100002,0.2418924
3.5200002,0.2710957,3.5200002,0.3257618,3.5200002,0.2693552
3.5300002,0.2770614,3.5300002,0.3178184,3.5300002,0.2803755
3.5400002,0.2746836,3.5400002,0.308408,3.5400002,0.2789774
3.5500002,0.267144,3.5500002,0.3185638,3.5500002,0.2567907
3.5600002,0.2657525,3.5600002,0.3304454,3.5600002,0.260077
3.5700002,0.2762537,3.5700002,0.3462761,3.5700002,0.2720205
3.5800002,0.2688944,3.5800002,0.3179784,3.5800002,0.2529415
3.5900002,0.2788543,3.5900002,0.3011107,3.5900002,0.2748602
3.6000001,0.2927843,3.6000001,0.3125459,3.6000001,0.2789665
3.6100001,0.3020597,3.6100001,0.3158486,3.6100001,0.275289
3.6200001,0.2958102,3.6200001,0.3043151,3.6200001,0.2474791
3.6300001,0.2899994,3.6300001,0.3024071,3.6300001,0.2651025
